Subject	Regulate	Score	Group
Subject6	Microbe18	0.05171034221379657	Microbe
Subject7	Microbe18	0.051949921867985735	Microbe
Subject8	Microbe18	0.05153077619848531	Microbe
Subject9	Microbe18	0.04946870034973026	Microbe
Subject10	Microbe18	0.04263821737168152	Microbe
Subject11	Microbe18	0.04384894739013981	Microbe
Subject1	Microbe19	0.0518818544009571	Microbe
Subject2	Microbe19	0.05191845753335898	Microbe
Subject3	Microbe19	0.05440345822831707	Microbe
Subject4	Microbe19	0.05184285580726293	Microbe
Subject5	Microbe19	0.05188342480144812	Microbe
Subject6	Microbe19	0.05171339644290348	Microbe
Subject7	Microbe19	0.05195003485694892	Microbe
Subject8	Microbe19	0.051536969504523876	Microbe
Subject9	Microbe19	0.054173593958806256	Microbe
Subject10	Microbe19	0.051372428128228294	Microbe
Subject11	Microbe19	0.05137824666699695	Microbe
Subject1	Microbe20	0.051881797200321565	Microbe
Subject2	Microbe20	0.05191842412724235	Microbe
Subject3	Microbe20	0.05440335792957538	Microbe
Subject4	Microbe20	0.05184285512295806	Microbe
Subject5	Microbe20	0.051883424032808635	Microbe
Subject6	Microbe20	0.0517133956736277	Microbe
Subject7	Microbe20	0.0519500346934281	Microbe
Subject8	Microbe20	0.051536969504523876	Microbe
Subject9	Microbe20	0.054173593958806256	Microbe
Subject10	Microbe20	0.0513724223818242	Microbe
Subject11	Microbe20	0.05137824666699695	Microbe
Subject1	Microbe1	0.05138414058794909	Metabolite
Subject2	Microbe1	0.051190079443483257	Metabolite
Subject3	Microbe1	0.05335787132549703	Metabolite
Subject4	Microbe1	0.05115855704392047	Metabolite
Subject5	Microbe1	0.051648441063704774	Metabolite
Subject6	Microbe1	0.051770665805653045	Metabolite
Subject7	Microbe1	0.05121194635042706	Metabolite
Subject8	Microbe1	0.0503731933618864	Metabolite
Subject9	Microbe1	0.06038303198143161	Metabolite
Subject10	Microbe1	0.056994648233613956	Metabolite
Subject11	Microbe1	0.056800256940482956	Metabolite
Subject1	Microbe2	0.04973782942553932	Metabolite
Subject2	Microbe2	0.05007165400871656	Metabolite
Subject3	Microbe2	0.052793333836192745	Metabolite
Subject4	Microbe2	0.04972091790780516	Metabolite
Subject5	Microbe2	0.04960554254269164	Metabolite
Subject6	Microbe2	0.048162032053450016	Metabolite
Subject7	Microbe2	0.04936813613526924	Metabolite
Subject8	Microbe2	0.049744371736754826	Metabolite
Subject9	Microbe2	0.052332742120320554	Metabolite
Subject10	Microbe2	0.04951922677170394	Metabolite
Subject11	Microbe2	0.04947517151416791	Metabolite
Subject1	Microbe3	0.04993353040580991	Metabolite
Subject2	Microbe3	0.05000396334634753	Metabolite
Subject3	Microbe3	0.05277138112094833	Metabolite
Subject4	Microbe3	0.049870973073968275	Metabolite
Subject5	Microbe3	0.049649554048325495	Metabolite
Subject6	Microbe3	0.04829768127027126	Metabolite
Subject7	Microbe3	0.04977706990444912	Metabolite
Subject8	Microbe3	0.04989050175669274	Metabolite
Subject9	Microbe3	0.052528906704764254	Metabolite
Subject10	Microbe3	0.05153555446684392	Metabolite
Subject11	Microbe3	0.05010894814967238	Metabolite
Subject1	Microbe4	0.04998916061771427	Metabolite
Subject2	Microbe4	0.04990286351122038	Metabolite
Subject3	Microbe4	0.05260842803827593	Metabolite
Subject4	Microbe4	0.04989692486561178	Metabolite
Subject5	Microbe4	0.04965667130166609	Metabolite
Subject6	Microbe4	0.04844255205501455	Metabolite
Subject7	Microbe4	0.049860667067109475	Metabolite
Subject8	Microbe4	0.050676227976417916	Metabolite
Subject9	Microbe4	0.05176469033085249	Metabolite
Subject10	Microbe4	0.04898917052939551	Metabolite
Subject11	Microbe4	0.04930577556456947	Metabolite
Subject1	Microbe5	0.050009178646200074	Metabolite
