Subject	Regulate	Score	Group
Subject14	Microbe10	0.05100669637228876	Microbe
Subject15	Microbe10	0.05130581156032178	Microbe
Subject16	Microbe10	0.051100013853643135	Microbe
Subject17	Microbe10	0.05113359600043994	Microbe
Subject18	Microbe10	0.05106755857107492	Microbe
Subject19	Microbe10	0.05102672521198049	Microbe
Subject1	Microbe11	0.04087227443929455	Microbe
Subject2	Microbe11	0.05183782080398022	Microbe
Subject3	Microbe11	0.05186320597446572	Microbe
Subject4	Microbe11	0.05002311875111146	Microbe
Subject5	Microbe11	0.05057789356205714	Microbe
Subject6	Microbe11	0.0507076650842903	Microbe
Subject7	Microbe11	0.050253598047660004	Microbe
Subject8	Microbe11	0.05050756360734142	Microbe
Subject9	Microbe11	0.0482445710615608	Microbe
Subject10	Microbe11	0.05139195932824663	Microbe
Subject11	Microbe11	0.05146144711427521	Microbe
Subject12	Microbe11	0.05149238772017406	Microbe
Subject13	Microbe11	0.0514812645295368	Microbe
Subject14	Microbe11	0.05144750862912377	Microbe
Subject15	Microbe11	0.051380338202149226	Microbe
Subject16	Microbe11	0.05139484530793762	Microbe
Subject17	Microbe11	0.051351817868496796	Microbe
Subject18	Microbe11	0.05139344831461156	Microbe
Subject19	Microbe11	0.05135035873767705	Microbe
Subject1	Microbe12	0.04276052580412969	Microbe
Subject2	Microbe12	0.051853512159306225	Microbe
Subject3	Microbe12	0.05186822981646557	Microbe
Subject4	Microbe12	0.054530859928058305	Microbe
Subject5	Microbe12	0.0485645957072872	Microbe
Subject6	Microbe12	0.04880624988997896	Microbe
Subject7	Microbe12	0.046891268586147	Microbe
Subject8	Microbe12	0.05072671543987476	Microbe
Subject9	Microbe12	0.051151010853214815	Microbe
Subject10	Microbe12	0.05130309127597772	Microbe
Subject11	Microbe12	0.05144698690854982	Microbe
Subject12	Microbe12	0.05148261385954295	Microbe
Subject13	Microbe12	0.05147946106725854	Microbe
Subject14	Microbe12	0.051345899755717496	Microbe
Subject15	Microbe12	0.05125660680903445	Microbe
Subject16	Microbe12	0.05105139359131911	Microbe
Subject17	Microbe12	0.050590139427301124	Microbe
Subject18	Microbe12	0.049573457199349934	Microbe
Subject19	Microbe12	0.04828961761045578	Microbe
Subject1	Microbe13	0.041024812184430555	Microbe
Subject2	Microbe13	0.05197228976282262	Microbe
Subject3	Microbe13	0.05188096217622357	Microbe
Subject4	Microbe13	0.04919681884888864	Microbe
Subject5	Microbe13	0.05137725260217109	Microbe
Subject6	Microbe13	0.05162276419338812	Microbe
Subject7	Microbe13	0.05134253687205942	Microbe
Subject8	Microbe13	0.05093496475367948	Microbe
Subject9	Microbe13	0.05143911122955817	Microbe
Subject10	Microbe13	0.05137187010741738	Microbe
Subject11	Microbe13	0.05146021713179807	Microbe
Subject12	Microbe13	0.051413334809995354	Microbe
Subject13	Microbe13	0.05132043529873945	Microbe
Subject14	Microbe13	0.05139369758658242	Microbe
Subject15	Microbe13	0.05137918865229201	Microbe
Subject16	Microbe13	0.051389449211418275	Microbe
Subject17	Microbe13	0.05135022979134585	Microbe
Subject18	Microbe13	0.051388524388185045	Microbe
Subject19	Microbe13	0.05134342048757744	Microbe
Subject1	Microbe14	0.0403584743726555	Microbe
Subject2	Microbe14	0.05152801052240417	Microbe
Subject3	Microbe14	0.051721963058205166	Microbe
Subject4	Microbe14	0.050436331863745514	Microbe
Subject5	Microbe14	0.05143036801312002	Microbe
Subject6	Microbe14	0.051429130749378014	Microbe
Subject7	Microbe14	0.05066721959153442	Microbe
Subject8	Microbe14	0.05114321571555808	Microbe
Subject9	Microbe14	0.05102372869774025	Microbe
Subject10	Microbe14	0.05122080986616867	Microbe
Subject11	Microbe14	0.05135625315417881	Microbe
Subject12	Microbe14	0.051445423792219606	Microbe
Subject13	Microbe14	0.05129694385693827	Microbe
Subject14	Microbe14	0.05074919070243755	Microbe
Subject15	Microbe14	0.0511168974433766	Microbe
Subject16	Microbe14	0.05138497372547842	Microbe
Subject17	Microbe14	0.051279007132815316	Microbe
Subject18	Microbe14	0.051359897491848834	Microbe
Subject19	Microbe14	0.05131403543029394	Microbe
Subject1	Microbe15	0.03841666490593143	Microbe
Subject2	Microbe15	0.05160588907940161	Microbe
Subject3	Microbe15	0.05007888463182134	Microbe
Subject4	Microbe15	0.04654855322938847	Microbe
Subject5	Microbe15	0.05157486588010918	Microbe
Subject6	Microbe15	0.05161687439266193	Microbe
Subject7	Microbe15	0.05121038177686158	Microbe
Subject8	Microbe15	0.0508913030888512	Microbe
Subject9	Microbe15	0.051506585834181044	Microbe
Subject10	Microbe15	0.0513916994081867	Microbe
Subject11	Microbe15	0.05146113629664612	Microbe
Subject12	Microbe15	0.051492338327034086	Microbe
Subject13	Microbe15	0.0514795212448162	Microbe
Subject14	Microbe15	0.05144340372803649	Microbe
Subject15	Microbe15	0.05136387255455696	Microbe
Subject16	Microbe15	0.050299469946422176	Microbe
Subject17	Microbe15	0.04654899564296243	Microbe
Subject18	Microbe15	0.049716024613159396	Microbe
Subject19	Microbe15	0.048095164186215296	Microbe
Subject1	Microbe16	0.040152833577403825	Microbe
Subject2	Microbe16	0.04963012907907532	Microbe
Subject3	Microbe16	0.050995743817875	Microbe
Subject4	Microbe16	0.052216792468091765	Microbe
Subject5	Microbe16	0.05136299694149909	Microbe
Subject6	Microbe16	0.051253029356501355	Microbe
Subject7	Microbe16	0.05064163684565208	Microbe
Subject8	Microbe16	0.051422661132892	Microbe
Subject9	Microbe16	0.0511822083877561	Microbe
Subject10	Microbe16	0.05139190850529861	Microbe
Subject11	Microbe16	0.05146141732786719	Microbe
Subject12	Microbe16	0.05149236320182528	Microbe
Subject13	Microbe16	0.05148083792674637	Microbe
Subject14	Microbe16	0.05144500795520976	Microbe
