Subject	Regulate	Score	Group
Subject14	Microbe12	0.049880462558202436	Microbe
Subject15	Microbe12	0.04819953700083799	Microbe
Subject16	Microbe12	0.051739889156555696	Microbe
Subject17	Microbe12	0.049964477408126734	Microbe
Subject1	Microbe13	0.05149229291518281	Microbe
Subject2	Microbe13	0.05138239517845679	Microbe
Subject3	Microbe13	0.05188827359201861	Microbe
Subject4	Microbe13	0.051852355607144116	Microbe
Subject5	Microbe13	0.051728015238959875	Microbe
Subject6	Microbe13	0.051460092888102694	Microbe
Subject7	Microbe13	0.05144830248763385	Microbe
Subject8	Microbe13	0.05115998547783123	Microbe
Subject9	Microbe13	0.05175897678926325	Microbe
Subject10	Microbe13	0.051233425636547765	Microbe
Subject11	Microbe13	0.05158010276803458	Microbe
Subject12	Microbe13	0.05130605443537805	Microbe
Subject13	Microbe13	0.05164654756271926	Microbe
Subject14	Microbe13	0.05190467510115999	Microbe
Subject15	Microbe13	0.05142559735969983	Microbe
Subject16	Microbe13	0.05270684822075624	Microbe
Subject17	Microbe13	0.05219035777123567	Microbe
Subject1	Microbe14	0.047729523275964525	Microbe
Subject2	Microbe14	0.05102217524241915	Microbe
Subject3	Microbe14	0.04375156135075272	Microbe
Subject4	Microbe14	0.0488583825593109	Microbe
Subject5	Microbe14	0.047570488109526424	Microbe
Subject6	Microbe14	0.05145775567308507	Microbe
Subject7	Microbe14	0.050145017397873685	Microbe
Subject8	Microbe14	0.05081168200573389	Microbe
Subject9	Microbe14	0.04059557009685613	Microbe
Subject10	Microbe14	0.05011573128086844	Microbe
Subject11	Microbe14	0.04508572140870561	Microbe
Subject12	Microbe14	0.04604560415228672	Microbe
Subject13	Microbe14	0.04948920422307168	Microbe
Subject14	Microbe14	0.03924395516855206	Microbe
Subject15	Microbe14	0.0490876256734776	Microbe
Subject16	Microbe14	0.034340130011168854	Microbe
Subject17	Microbe14	0.03603607842301178	Microbe
Subject1	Microbe15	0.051587343052829686	Microbe
Subject2	Microbe15	0.05116245841956754	Microbe
Subject3	Microbe15	0.058346047878452066	Microbe
Subject4	Microbe15	0.048783677973047904	Microbe
Subject5	Microbe15	0.05190284427823025	Microbe
Subject6	Microbe15	0.05146426322963815	Microbe
Subject7	Microbe15	0.051471409851698714	Microbe
Subject8	Microbe15	0.05116881833879354	Microbe
Subject9	Microbe15	0.0519042302530167	Microbe
Subject10	Microbe15	0.05128643426052962	Microbe
Subject11	Microbe15	0.051866889929249205	Microbe
Subject12	Microbe15	0.051535854081739704	Microbe
Subject13	Microbe15	0.051619635492112195	Microbe
Subject14	Microbe15	0.051913308023409044	Microbe
Subject15	Microbe15	0.051415500881370924	Microbe
Subject16	Microbe15	0.05270914801792149	Microbe
Subject17	Microbe15	0.05219189522076436	Microbe
Subject1	Microbe16	0.04998005100647138	Microbe
Subject2	Microbe16	0.04959602698803146	Microbe
Subject3	Microbe16	0.051985956841292535	Microbe
Subject4	Microbe16	0.05175169425052864	Microbe
Subject5	Microbe16	0.05145434022545868	Microbe
Subject6	Microbe16	0.05136627347124252	Microbe
Subject7	Microbe16	0.050273690243363485	Microbe
Subject8	Microbe16	0.05116894664766338	Microbe
Subject9	Microbe16	0.05172401868582728	Microbe
Subject10	Microbe16	0.05125407876826593	Microbe
Subject11	Microbe16	0.05160715662337659	Microbe
Subject12	Microbe16	0.05148009227009106	Microbe
Subject13	Microbe16	0.05161989241022402	Microbe
Subject14	Microbe16	0.0519133201851347	Microbe
Subject15	Microbe16	0.05141567866874585	Microbe
Subject16	Microbe16	0.05270926506107723	Microbe
Subject17	Microbe16	0.05219216415931589	Microbe
Subject1	Microbe17	0.05143788153809735	Microbe
Subject2	Microbe17	0.05133916588741022	Microbe
Subject3	Microbe17	0.05215050812937757	Microbe
